datetime_utc, _conds, _dewptm, _fog, _hail, _heatindexm, _hum, _precipm, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wdird, _wdire, _wgustm, _windchillm, _wspdm
20170104-07:00,Smoke,13,0,0,,50,,1016,0,0,24,0,0,2,200,SSW,,,11.1
20170104-08:00,Smoke,14,0,0,,50,,1015,0,0,25,0,0,2.5,210,SSW,,,7.4
20170104-09:00,Smoke,14,0,0,,41,,1014,0,0,25,0,0,2,110,ESE,,,5.6
20170104-09:30,Haze,14,0,0,,50,,1015,0,0,25,0,0,3,80,East,,,7.4
20170104-10:30,Haze,14,0,0,,50,,1014,0,0,25,0,0,3,140,SE,,,7.4
20170104-11:00,Haze,14,0,0,,53,,1014,0,0,24,0,0,3,150,SSE,,,7.4
20170104-11:30,Haze,14,0,0,,53,,1014,0,0,24,0,0,3,130,SE,,,3.7
20170104-12:00,Haze,15,0,0,,58,,1014,0,0,22,0,0,2,140,SE,,,5.6
20170104-12:30,Haze,15,0,0,,73,,1014,0,0,20,0,0,2,150,SSE,,,5.6
20170104-15:00,Mist,14,0,0,,84,,1016,0,0,16,0,0,2,,,,,0
20170104-18:00,Mist,13,0,0,,95,,1017,0,0,13,0,0,1,,,,,0
20170104-21:00,Patches of Fog,12,1,0,,95,,1016,0,0,12,0,0,0.5,,,,,0
20170105-00:00,Patches of Fog,11,1,0,,100,,1015,0,0,11,0,0,0.5,,,,,0
20170105-02:00,Fog,11,1,0,,100,,1015,0,0,11,0,0,0.3,0,North,,,0
20170105-03:00,Partial Fog,10,1,0,,99,,1016,0,0,11,0,0,0.5,,,,,0
20170105-04:00,Fog,13,1,0,,94,,1016,0,0,14,0,0,0.7,220,SW,,,3.7
20170105-04:30,Mist,13,0,0,,88,,1016,0,0,15,0,0,0.8,180,South,,,3.7
20170105-05:00,Smoke,13,0,0,,68,,1017,0,0,19,0,0,1,290,WNW,,,7.4
20170105-05:30,Smoke,12,0,0,,60,,1017,0,0,20,0,0,1.6,270,West,,,5.6
20170105-06:00,Smoke,15,0,0,,60,,1016,0,0,20,0,0,2,250,WSW,,,7.4
20170105-07:00,Smoke,14,0,0,,57,,1015,0,0,23,0,0,3,250,WSW,,,9.3
20170105-08:00,Smoke,16,0,0,,57,,1013,0,0,25,0,0,3,290,WNW,,,5.6
20170105-08:30,Smoke,16,0,0,,57,,1013,0,0,25,0,0,3,280,West,,,5.6
20170105-09:00,Haze,16,0,0,,48,,1012,0,0,25,0,0,2,0,North,,,3.7
20170105-11:00,Haze,14,0,0,,53,,1012,0,0,24,0,0,3,320,NW,,,3.7
20170105-11:30,Haze,14,0,0,,57,,1012,0,0,23,0,0,3,330,NNW,,,3.7
20170105-12:00,Haze,16,0,0,,62,,1012,0,0,22,0,0,2,,,,,0
20170105-15:00,Mist,15,0,0,,91,,1014,0,0,16,0,0,2,,,,,0
20170105-18:00,Mist,14,0,0,,100,,1014,0,0,14,0,0,2,,,,,0
20170105-21:00,Mist,13,0,0,,98,,1013,0,0,13,0,0,1,,,,,0
20170106-00:00,Mist,14,0,0,,98,,1012,0,0,14,0,0,1,140,SE,,,3.7
20170106-02:00,Fog,14,1,0,,100,,1012,0,0,14,0,0,0.6,140,SE,,,5.6
20170106-02:30,Fog,14,1,0,,94,,1013,0,0,15,0,0,0.8,90,East,,,3.7
20170106-03:00,Patches of Fog,14,1,0,,92,,1013,0,0,15,0,0,0.5,140,SE,,,7.4
20170106-03:30,Mist,15,0,0,,94,,1013,0,0,16,0,0,1,140,SE,,,7.4
20170106-04:00,Mist,15,0,0,,88,,1013,0,0,17,0,0,1.2,140,SE,,,9.3
20170106-05:00,Mist,15,0,0,,78,,1014,0,0,19,0,0,1.2,160,SSE,,,13
20170106-05:30,Smoke,14,0,0,,68,,1013,0,0,20,0,0,1.2,160,SSE,,,9.3
20170106-06:00,Smoke,14,0,0,,57,,1013,0,0,21,0,0,1,140,SE,,,7.4
20170106-07:00,Smoke,15,0,0,,64,,1013,0,0,22,0,0,1.5,140,SE,,,9.3
20170106-07:30,Haze,15,0,0,,64,,1012,0,0,22,0,0,2,110,ESE,,,7.4
20170106-08:00,Haze,16,0,0,,65,,1011,0,0,23,0,0,2.5,110,ESE,,,9.3
20170106-08:30,Haze,16,0,0,,61,,1011,0,0,24,0,0,2.5,90,East,,,11.1
20170106-09:00,Haze,16,0,0,,52,,1010,0,0,24,0,0,2,110,ESE,,,11.1
20170106-10:00,Haze,17,0,0,,65,,1010,0,0,24,0,0,2.5,100,East,,,7.4
20170106-11:00,Haze,18,0,0,,73,,1010,0,0,23,0,0,2.5,120,ESE,,,14.8
20170106-11:30,Haze,17,0,0,,73,,1010,0,0,22,0,0,2,130,SE,,,9.3
20170106-12:00,Mist,18,0,0,,76,,1010,0,0,21,0,0,2,110,ESE,,,5.6
20170106-13:00,Partly Cloudy,16,0,0,,88,,1011,0,0,18,0,0,1.5,90,East,,,7.4
20170106-15:00,Mist,17,0,0,,96,,1012,0,0,18,0,0,1,70,ENE,,,7.4
